INFO 2026-01-29 11:14:29,641 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:19:05,073 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:19:17,630 log "GET /profile/ HTTP/1.1" 200 8151
INFO 2026-01-29 11:19:17,655 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:19:17,655 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:19:17,655 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:19:17,655 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
WARNING 2026-01-29 11:19:17,665 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:19:17,665 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:19:32,955 log "GET / HTTP/1.1" 302 0
INFO 2026-01-29 11:19:32,973 log "GET /profile/ HTTP/1.1" 200 8151
WARNING 2026-01-29 11:19:33,013 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:19:33,013 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:19:33,013 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:19:33,018 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:19:33,018 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:19:33,019 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:19:35,672 log "GET /logout/ HTTP/1.1" 302 0
INFO 2026-01-29 11:19:35,685 log "GET /login/ HTTP/1.1" 200 9509
WARNING 2026-01-29 11:19:35,717 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:19:35,718 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:19:35,719 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:19:35,719 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:19:35,720 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:19:35,720 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:19:38,836 log "GET / HTTP/1.1" 200 13738
WARNING 2026-01-29 11:19:38,871 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:19:38,871 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:19:38,873 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:19:38,874 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:19:38,874 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:19:38,882 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:23:14,620 log "GET / HTTP/1.1" 200 13738
INFO 2026-01-29 11:23:14,641 log "GET /static/hackathon/css/style.css HTTP/1.1" 304 0
INFO 2026-01-29 11:23:14,643 log "GET /static/hackathon/js/app.js HTTP/1.1" 304 0
INFO 2026-01-29 11:23:14,643 log "GET /static/hackathon/css/animations.css HTTP/1.1" 304 0
INFO 2026-01-29 11:23:14,647 log "GET /static/hackathon/js/animations.js HTTP/1.1" 304 0
INFO 2026-01-29 11:23:16,068 log "GET /admin/ HTTP/1.1" 302 0
INFO 2026-01-29 11:23:16,091 log "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4084
INFO 2026-01-29 11:23:16,102 log "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2026-01-29 11:23:16,102 log "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 3538
INFO 2026-01-29 11:23:16,102 log "GET /static/admin/css/base.css HTTP/1.1" 200 23100
INFO 2026-01-29 11:23:16,115 log "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2026-01-29 11:23:16,116 log "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2026-01-29 11:23:16,116 log "GET /static/admin/css/responsive.css HTTP/1.1" 200 16273
INFO 2026-01-29 11:23:16,117 log "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2026-01-29 11:23:19,643 log "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-01-29 11:23:19,651 log "GET /admin/ HTTP/1.1" 200 12204
INFO 2026-01-29 11:23:19,677 log "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2026-01-29 11:23:19,678 log "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 593
INFO 2026-01-29 11:23:19,678 log "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 978
INFO 2026-01-29 11:23:23,517 log "GET /admin/hackathon/application/ HTTP/1.1" 200 33878
INFO 2026-01-29 11:23:23,533 log "GET /static/admin/css/forms.css HTTP/1.1" 200 8788
INFO 2026-01-29 11:23:23,534 log "GET /static/admin/css/changelists.css HTTP/1.1" 200 7501
INFO 2026-01-29 11:23:23,535 log "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2026-01-29 11:23:23,535 log "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2026-01-29 11:23:23,536 log "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2026-01-29 11:23:23,536 log "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2026-01-29 11:23:23,537 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2026-01-29 11:23:23,537 log "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2026-01-29 11:23:23,539 log "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2026-01-29 11:23:23,544 log "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2026-01-29 11:23:23,545 log "GET /static/admin/css/widgets.css HTTP/1.1" 200 11811
INFO 2026-01-29 11:23:23,545 log "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2026-01-29 11:23:23,546 log "GET /static/admin/img/search.svg HTTP/1.1" 200 607
INFO 2026-01-29 11:23:23,550 log "GET /static/admin/js/filters.js HTTP/1.1" 200 978
